date,hour,minute,city_area,ufo_shape,description,longitude,latitude,weekdats,month_name
2013-10-10,00,00,clifton,light,Bright light&#33&#33,-74.163755,40.858433,Thursday,October
2012-10-11,02,45,watchung (was my perspective),sphere,Orange sphere moving in unbeliveable ways&#44&#44&#44another green spehere near by with rays emerging form it.  Bizarre,-74.4513889,40.6377778,Thursday,October
2013-10-01,08,38,furlong,other,Shape with lights hovering then inching then speeding in a direction.,-75.082115,40.296218,Tuesday,October
2012-10-12,20,00,deptford,sphere,My husband and I saw a slow-moving&#44 low-flying&#44 orange globe going over our development around 8:00 at night.,-75.122778,39.819722,Friday,October
2012-10-12,22,00,marlton,circle,20 cirlces of orange lite in the Kings grant area marlton New Jersey,-74.9222222,39.8911111,Friday,October
2010-10-13,20,30,brick,circle,A fire disk was seen moving slowly as the light dimmed and object disappeared. 500 Lights On Object0: Yes,-74.137183,40.057838,Wednesday,October
2011-10-13,03,30,newark,light,Sighting of colorful lights in the morning sky,-74.1727778,40.7355556,Thursday,October
2012-10-13,21,45,mount laurel,fireball,At approximately 9:45pm EDT tonight&#44 I was driving home from work and spotted two orange light in the sky over Cemetary Road&#44 Mt. Laure,-74.8913889,39.9338889,Saturday,October
2013-10-13,19,00,orange,light,Bright white light  (occasionally diming and becoming fully bright again) displaying odd movements over the SW skies of Orange&#44 NJ,-74.2330556,40.7705556,Sunday,October
2011-10-14,09,42,elmer,triangle,It was hovering for about 10 minutes&#44 then it lifted straight up. Then started flying with green and red flashing lights&#44 in a weird fo,-75.1705556,39.595,Friday,October
2012-10-14,21,45,lakewood,light,Bright white light moving fast toward trees,-74.2180556,40.0977778,Sunday,October
2012-10-14,21,45,toms river,circle,Bright light coming down at 45 degree angle northeast of Toms River NJ 10/14 @ 9:45 PM,-74.1983333,39.9536111,Sunday,October
2013-10-14,00,35,forked river,circle,Red/gold fireball haze around it  stayed same size moving same speed much bigger then any star no meteor for sure.,-74.1905556,39.8397222,Monday,October
2013-10-14,20,15,holgate,circle,My self&#44daughter and son were on the beach fishing.it was cloudy some moonlight some cloud cover&#44mind you I am not a believer before th,-74.2572222,39.54,Monday,October
2013-10-14,22,00,watchung area (i believe),unknown,Vertical column of 3 pulsating lights that change color. To the left of Orion&#39s belt looking east from Warren.,-74.376508,40.683512,Monday,October
2011-10-15,20,30,absecon,triangle,White triangle shape no lites or sound moving NNE in night sky.,-74.4961111,39.4283333,Saturday,October
2013-10-15,19,35,brigantine,unknown,Orange light craft not defined moved slowly almost hovering at time then disappeared quickly.,-74.365,39.41,Tuesday,October
2011-10-16,01,30,bridgewater,fireball,flaming moving object in NJ,-74.601111,40.623333,Sunday,October
2013-10-17,20,26,holgate (lbi),circle,Long Orange Cigar Shape with two smaller circular Orb shapes that appeared and disappeared fast over the water.,-74.2572222,39.54,Thursday,October
2012-10-19,23,00,seaside park,circle,Red light swooping left and right over seaside park 11:30PM 10/19/12,-74.0775,39.9266667,Friday,October
2011-10-20,15,00,mays landing,other,House shaking and pictures moving along with audible rumbling.  According to the news&#44 USGS reports no seismic activity.,-74.7280556,39.4522222,Thursday,October
2011-10-21,20,00,east orange,formation,4 lights in the sky that swirled around our heads making a square/ diamond shape and that followed us about 9 blocks home,-74.2052778,40.7672222,Friday,October
2012-10-21,05,30,stewartsville,egg,What the heck was that?,-75.1113889,40.6936111,Sunday,October
2013-10-21,21,00,barnegat,fireball,Object appearing to be a burning object flew low at constant speed and altitude.,-74.2233333,39.7530556,Monday,October
2013-10-02,22,00,waretown,rectangle,Three lights moving very slowly then turned north revealing 2 add&#39l red lights. Hovered for several minutes.,-74.1955556,39.7913889,Wednesday,October
2011-10-22,22,30,mile marker 41 garden state parkway,fireball,Orange fireball objects in sky in new jersey,-75.553649,39.736928,Saturday,October
2011-10-22,22,45,east hanover,light,Four lights dancing in a circular formation constantly moving&#44 lasted a long time.,-74.3652778,40.82,Saturday,October
2011-10-23,00,00,shrewsbury,circle,Green circle moving downward in the sky fell for a bit and disappeared,-74.0619444,40.3294444,Sunday,October
2011-10-23,19,30,jackson,sphere,Our group at approximately 7:30 PM witnessed approximately 60 to 70 bright gold spheres.,-74.8627778,39.7763889,Sunday,October
2011-10-23,19,30,lambertville,disk,Unknown flying craft seen over West Amwell Twp&#44 Hunterdon Co&#44 NJ Oct 23&#442011 7:30pm.,-74.9433333,40.3658333,Sunday,October
2012-10-23,19,50,southampton,formation,Isosceles triangle formation of 3 brightly glowing&#44 fiery orange orbs.,-74.726579,39.927429,Tuesday,October
2013-10-23,05,28,marlboro,triangle,Large low flying aircraft with flashing red lights flying just over the tree line. Seemed very peculiar and quite dangerous.,-74.2466667,40.3152778,Wednesday,October
2012-10-24,18,23,ocean city,light,A bright white orb appeared to hover above the ground for two minutes before disappearing.,-74.575,39.2775,Wednesday,October
2013-10-24,07,00,erial,sphere,Shiny spherically shaped object traveled very quickly southeastward then disappeared after a few seconds..,-75.0066667,39.7733333,Thursday,October
2013-10-24,07,30,morristown,light,Bright fast quick light streak.,-74.4819444,40.7966667,Thursday,October
2011-10-25,04,00,north bergen,circle,While viewing the stars I saw a U.F.O  fly near by&#44in the from north to south&#44in New Jersey.,-74.0125,40.8041667,Tuesday,October
2011-10-25,05,45,bernardsville,fireball,fireball appears over rt 287 then decends fast and diagonally behind tree line,-74.5697222,40.7186111,Tuesday,October
2013-10-25,22,30,seaside park,cross,Additional Info for the Friday Oct. 25th 10:30PM Sighting of 2 UFOs in Seaside Park NJ off the Ocean front.,-74.0775,39.9266667,Friday,October
2011-10-30,17,00,hackensack,changing,To whom it may concern&#44  I am reporting my sighting from last night October 30th 2011 appx. 5:00pm eastern. I am a resident of Nort,-74.0438889,40.8858333,Sunday,October
2013-10-30,19,00,ogdensburg,light,Consistent&#44 bright lights in sky.,-74.5927778,41.0816667,Wednesday,October
2011-10-31,20,30,somers point,fireball,2 bright orange lights observed by 7 people over south jersey.,-74.595,39.3175,Monday,October
2012-10-03,23,00,beachwood,fireball,red fire looking orb that was very fast and had control over where it moved,-74.1933333,39.9388889,Wednesday,October
2013-10-04,17,20,millstone township,circle,UFO SIGHTING in NJ.,-74.4375,40.209444,Friday,October
2012-10-05,21,30,asbury park,fireball,I was standing near the beach taking my two dogs out for a walk at 21:30.  I saw numerous orange colored lights in the sky moving from,-74.0125,40.2202778,Friday,October
2013-10-05,16,45,warren,disk,Slow moving&#44 low flying disc.,-74.50048,40.634249,Saturday,October
2011-10-07,06,15,high bridge,light,My 12 year-old son noticed what appeared to be a star hovering and then moving around.  It looks like it may have been over Round Valle,-74.8961111,40.6669444,Friday,October
2010-10-09,05,00,woodland park,circle,Two yellowish orange round lights in the sky above the trees&#44 one massive light disappearing and reappearing&#33,-74.3791667,40.7027778,Saturday,October
2010-10-09,21,20,belmar,light,Orange ball crossing over Belmar&#44 NJ,-74.0222222,40.1783333,Saturday,October
2012-10-09,19,00,collingswood,fireball,Orange sphere over philadelphia.,-75.0716667,39.9180556,Tuesday,October
2012-11-10,19,00,bayville,fireball,Two red fireballs&#44 so close then shot up and disappeared.,-74.1552778,39.9091667,Saturday,November
2013-11-10,14,00,west orange,rectangle,Rectangular waving figure.,-74.2330556,40.7705556,Sunday,November
2012-11-11,22,00,galloway,circle,Bright white&#44 looks like 2 stars very close together yet jumping not flying in any direction,-74.559688,39.492824,Sunday,November
2014-01-11,03,00,bayville,unknown,Strange loud booming noises unknown origin.,-74.1552778,39.9091667,Saturday,January
2013-11-13,04,35,florham park,light,Blue light observed over RT 24 northbound in the early morning.,-74.3886111,40.7877778,Wednesday,November
2013-11-13,20,00,toms river,triangle,Triangle craft seen over Toms River&#44 N.J.,-74.1983333,39.9536111,Wednesday,November
2012-11-14,17,30,allenwood,triangle,Triangle&#44 rainbow lights over Garden State Parkway.,-74.1002778,40.1413889,Wednesday,November
